KRAS mutation is present in a small subset of primary urinary bladder adenocarcinomas	 NaN	 https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2559.2012.04309.x	 RE Alexander, A Lopez‐Beltran, R Montironi… - …, 2012 - Wiley Online Library	 R Montironi	 26	 0	 10.1111/j.1365-2559.2012.04309.x	 Histopathology	 2012 Dec;61(6):1036-42.	 Riley E Alexander	 22804747
Novel dual-color immunohistochemical methods for detecting ERG–PTEN and ERG–SPINK1 status in prostate carcinoma	 Html	 https://www.sciencedirect.com/science/article/pii/S0893395222030812	 R Bhalla, LP Kunju, SA Tomlins, K Christopherson… - Modern Pathology, 2013 - Elsevier	 SA Tomlins	 55	 1	 PMC3672354	 Mod Pathol	 2013 Jun;26(6):835-48.	 Ritu Bhalla	 23348902
Novel Dual Color Immunohistochemical Analysis for Detecting ERG and SPINK1 Status in Prostate Carcinoma	 Citation	 NaN	 R Bhalla, LP Kunju, SA Tomlins… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 SA Tomlins	 NaN	 1	 PMC3672354	 Mod Pathol	 2013 Jun;26(6):835-48.	 Ritu Bhalla	 23348902
Validation of the contemporary epstein criteria for insignificant prostate cancer in South-American men	 Citation	 https://repositorio.unicamp.br/acervo/detalhe/1175798	 A Billis, L Meirelles, LLL Freitas… - Laboratory …, 2012 - repositorio.unicamp.br	 A Billis	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
The morphology and immunohistochemical phenotypic expression of focal prostatic atrophy	 Citation	 https://repositorio.unicamp.br/acervo/detalhe/1175780	 A Billis, L Meirelles, BD Lins, JFL Bonfito… - Laboratory …, 2012 - repositorio.unicamp.br	 A Billis	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 20361207

Prostate total tumor extent versus index tumor extent—which is predictive of biochemical recurrence following radical prostatectomy?	 NaN	 https://www.sciencedirect.com/science/article/pii/S0022534712047982	 A Billis, LR Meirelles, LLL Freitas, AS Polidoro… - The Journal of …, 2013 - Elsevier	 A Billis	 10	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 23164377

P53 in Epithelioid Angiomyolipoma: An Immunohistochemistry Study and Gene Mutation Analysis	 Citation	 NaN	 Z Bing, Y Yao, T Pasha… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 22459898

MicroRNA Expression Analysis Suggests Genetic Similarity among Urachal Adenocarcinoma Morphologic Variants	 Citation	 NaN	 ML Bissonnette, T Stricker… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Urothelial carcinoma with prominent squamous differentiation in the setting of neurogenic bladder: role of human papillomavirus infection	 Html	 https://www.sciencedirect.com/science/article/pii/S0893395222029659	 EB Blochin, KJ Park, SK Tickoo, VE Reuter… - Modern Pathology, 2012 - Elsevier	 KJ Park	 53	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 22766788 
Gleason Grading Reproducibility Highlights Problematic Patterns for Differentiating Gleason Grade 3 Versus Gleason Grade 4: Implications for Active …	 Citation	 NaN	 M Bonham, S Hawley, LP Kunju… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
ERG protein expression and genomic rearrangement status in primary and metastatic prostate cancer—a comparative study of two monoclonal antibodies	 NaN	 https://www.nature.com/articles/pcan201167	 M Braun, D Goltz, D Adler, W Vogel, D Böhm… - Prostate cancer and …, 2012 - nature.com	 NaN	 96	 1	 10.1038/pcan.2011.67	 Prostate Cancer Prostatic Dis	 2012 Jun;15(2):165-9.	 M Braun	 22231490
Improved method of detecting the ERG gene rearrangement in prostate cancer using combined dual-color chromogenic and silver in situ hybridization	 Html	 https://www.sciencedirect.com/science/article/pii/S1525157812001006	 M Braun, J Stomper, D Boehm, W Vogel… - The Journal of Molecular …, 2012 - Elsevier	 NaN	 9	 1	 10.1016/j.jmoldx.2012.01.017	 J Mol Diagn	 2012 Jul;14(4):322-7.	 Martin Braun	 22642898
Rearrangement of the ETS Genes ETV-1, ETV-4, ETV-5 and LK-1 Is a Clonal Event during Prostate Cancer Progression	 Citation	 NaN	 M Braun, Z Shaikibrahim… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 10.1016/j.humpath.2012.01.018	 Hum Pathol	 2012 Nov;43(11):1910-6.	 David Alder	 22569213
Worrisome Histologic Features in Benign Renal Oncocytoma: Immunohistochemical and Cytogenetic Analysis	 Citation	 NaN	 M Brunelli, M Facial, D Segala… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 28868942

Clinicopathologic Characteristics of Renal Cell Carcinoma in Patients 45 Years of Age and Younger	 Pdf	 https://www.yalepath.org/posters/clinical/2012/Adeniran_2012_ClinicopathCharactRenalCellCa.pdf	 R Carr, A Van Dyke, G Cai, K Haines, AJ Adeniran - Age (years), 2012 - yalepath.org	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 19228722

Immunohistochemical Profile of Renal Cell Carcinoma in Patients Younger than 45 Years of Age: Analysis of 87 Cases of Different Tumor Subtypes	 Pdf	 http://www.yalepath.org/posters/clinical/2012/adeniran_2012_ihcrenalcellca.pdf	 R Carr¹, G Cai¹, Y Bao¹, ML Prasad¹, SK Tickoo… - Clin Lab Med, 2005 - yalepath.org	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Should Fuhrman Grading in Clear Cell Renal Cell Carcinomas Be Based on Nucleoli Only?	 Citation	 NaN	 SS Chan, L Lee, J Chin… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 J Chin	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Xp11. 2 translocations in adult renal cell carcinomas with clear cell and papillary features.	 NaN	 https://ascopubs.org/doi/abs/10.1200/jco.2012.30.15_suppl.4613	 SM Chan, CG Sherman, MY Gabril, IJ Zbieranowski… - 2012 - ascopubs.org	 NaN	 1	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 31757738 
Diagnostic utility of GATA3 immunohistochemical expression in urothelial carcinoma	 Html	 https://journals.lww.com/ijpm/fulltext/2019/62020/diagnostic_utility_of_gata3_immunohistochemical.12.aspx	 H Agarwal, S Babu, C Rana, M Kumar… - Indian Journal of …, 2019 - journals.lww.com	 H Agarwal	 27	 0	 NaN	 NaN	 NaN	 NaN	 PMID: 22982890 
Utility of Gata3 and Pax8 Immunohistochemistry in Diagnosing Sarcomatoid Urothelial Carcinoma (UC) and Sarcomatoid Renal Cell Carcinoma (RCC)	 Citation	 NaN	 A Chang, F Brimo… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
High-risk human papillomavirus DNA detected in primary squamous cell carcinoma of urinary bladder	 NaN	 https://meridian.allenpress.com/aplm/article-abstract/137/8/1088/65496	 JR Chapman-Fredricks… - … of Pathology and …, 2013 - meridian.allenpress.com	 NaN	 23	 0	 NaN	 NaN	 NaN	 NaN	 NaN
E-Cadherin Expression in Prostatic Adenocarcinoma: Correlation with Gleason Score and Comparison with Invasive High Grade Urothelial Carcinoma	 Citation	 NaN	 EC Chastain, S Ali… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 S Ali	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
5-Hydroxy-Methyl-Cytosine Content Is Strongly Associated with Degree of Histologic Differentiation in Penile Squamous Cell Carcinomas	 Citation	 NaN	 A Chaux, MC Haffner… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 A Chaux	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Loss of PTEN Immunoexpression Is Associated with Increased Risk of Recurrence after Prostatectomy for Clinically-Localized Prostate Cancer	 Citation	 NaN	 A Chaux, S Peskoe… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 A Chaux	 NaN	 1	 PMC4380219	 Mod Pathol	 2012 Nov;25(11):1543-9.	 Alcides Chaux	 22684219
Immunohistochemical Expression of Phosphorylated S6 Is Associated with Degree of Differentiation in Penile Squamous Cell Carcinoma	 Citation	 NaN	 A Chaux, AL Cubilla, J Hicks… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 A Chaux	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Unclassified Renal Cell Carcinoma: A Contemporary Study of 116 Cases with Emphasis on Tumors with Aggressive Behavior	 Citation	 NaN	 Y Chen, H Al-Ahmadie… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 H Al-Ahmadie	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Chromophobe Renal Cell Carcinoma: Is Grading Necessary?	 Citation	 NaN	 JC Cheville, WR Sukov… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 JC Cheville	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 33769136 
Does Increasing Fuhrman Nuclear Grade Reflect Evolving Epithelial-Mesenchymal Transition in Clear Cell Renal Cell Carcinoma?	 Citation	 NaN	 JL Conant, Z Peng, MF Evans… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Urothelial CIS with Microinvasion: A Morphologic and Prognostic Study	 Citation	 NaN	 R Cox, JI Epstein - MODERN PATHOLOGY, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 JI Epstein	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Clear cell papillary cystadenoma of the epididymis and mesosalpinx: immunohistochemical differentiation from metastatic clear cell renal cell carcinoma	 NaN	 https://journals.lww.com/ajsp/fulltext/2005/04000/clear_cell_papillary_cystadenoma_of_the_epididymis.15.aspx	 H Aydin, RH Young, BM Ronnett… - The American journal of …, 2005 - journals.lww.com	 BM Ronnett	 62	 0	 NaN	 NaN	 NaN	 NaN	 PMID: 24441657
Expression of Parafibromin in Renal Tumors and Its Potential Correlation with Tumor Prognosis	 Citation	 NaN	 C Cui, P Lal, Y Ma… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Retrospective Analysis of Survival in Muscularis Propria-Invasive Bladder Cancer	 Citation	 NaN	 AM D'Souza, KS Pohar, T Arif… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 10.1002/1097-0142(19950901)76:5<833::aid-cncr2820760518>3.0.co;2-m	 Cancer	 1995 Sep 1;76(5):833-9.	 J A Freeman	 8625187
Prognostic significance of extraprostatic extension of prostate cancer	 Citation	 NaN	 D Danneman, F Wiklund… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 1	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 23889260
Differential gene expression profiling in proliferative inflammatory atrophy: a comparative molecular study between PIA, HGPIN and prostate cancer	 Citation	 NaN	 I De Torres, MT Quiles… - MODERN …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 MT Quiles	 2	 1	 10.1002/pros.21494	 Prostate	 2012 Jun 15;72(9):931-7.	 Ashish P Mogal	 22025306
ERG Rearrangement Is Associated with an Earlier Age at Diagnosis in a PSA-Screening Clinical Trial Cohort from Tyrol (Austria)	 Citation	 NaN	 F Demichelis, G Schaefer… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Overexpression of the Soluble Epoxide Hydrolase in Human Prostate Adenocarcinoma with a Downregulation Following Androgen Deprivation Therapy	 Citation	 NaN	 X Ding, J Liao, H Li, J Huang… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
The Role of Immunohistochemistry (IHC) in the Differential Diagnosis of Invasive Plasmacytoid Urothelial Carcinoma (PUC) and Its Mimics	 Citation	 NaN	 KL Dishongh, JK McKenney… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
The Impact of the 2005 Modified Gleason Grading System on the Clinical Outcome of Prostate Cancer	 Citation	 NaN	 F Dong, C Wang, AB Farris… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 F Dong	 NaN	 1	 10.1097/PAS.0b013e3182486faf	 Am J Surg Pathol	 2012 Jun;36(6):838-43.	 Fei Dong	 22592143
Renal cell carcinoma before and after sunitinib therapy. Morphological and molecular changes	 NaN	 https://www.research.ed.ac.uk/en/publications/renal-cell-carcinoma-before-and-after-sunitinib-therapy-morpholog	 R Doshi, M O'Donnel, M Bex, L Beltran… - … , Canada, March 17 …, 2012 - research.ed.ac.uk	 M Bex	 1	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Standardization of Gleason Grading among 337 Pathologists	 Citation	 NaN	 L Egevad, F Algaba, DM Berney… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 DM Berney	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 23240715
BCA2 is differentially expressed in renal oncocytoma: an analysis of 158 renal neoplasms	 NaN	 https://link.springer.com/article/10.1007/s13277-012-0608-8	 L Ehsani, R Seth, S Bacopulos, A Seth, AO Osunkoya - Tumor Biology, 2013 - Springer	 NaN	 16	 0	 10.1007/s13277-012-0608-8	 Tumour Biol	 2013 Apr;34(2):787-91.	 Laleh Ehsani	 23242606
A FISH Assay for Detection of Excess Chromosome 12p Material To Distinguish Germ Cell Tumors from Somatic Carcinoma	 Citation	 NaN	 RM Elliott, MK Rao, K Wang… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 RM Elliott	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Prognostic G leason grade grouping: data based on the modified G leason scoring system	 NaN	 https://bjui-journals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1464-410X.2012.11611.x	 PM Pierorazio, PC Walsh, AW Partin… - BJU …, 2013 - Wiley Online Library	 PM Pierorazio	 812	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 26492179 
Upgrading/Downgrading of Prostate Cancer from Biopsy to Radical Prosatectomy: Incidence and Predictive Factors	 Citation	 NaN	 JI Epstein, B Trock, A Chang - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 JI Epstein	 1	 1	 PMC4659370	 Eur Urol	 2012 May;61(5):1019-24.	 Jonathan I Epstein	 22336380
Accuracy of Risk Assessment Tools To Predict EPE in Patients 45 Years Old or Younger with Prostate Cancer Treated by Radical Prostatectomy	 Citation	 NaN	 SM Falzarano, E Walker… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 36988199

Neoadjuvant docetaxel treatment for locally advanced prostate cancer: a clinicopathologic study	 NaN	 https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.22897	 C Magi‐Galluzzi, M Zhou, AM Reuther, R Dreicer… - Cancer, 2007 - Wiley Online Library	 C Magi‐Galluzzi	 70	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Concordance of TMPRSS2-ERG Fusion Status by Quantitative PCR with ERG Protein Expression by Immunohistochemistry Using Anti-ERG Monoclonal …	 Citation	 NaN	 SM Falzarano, C Millward… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 1	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Neoplastic retraction clefting on prostate needle biopsies: is it a prognostic factor?	 Citation	 https://repositorio.unicamp.br/acervo/detalhe/1175788	 WJ Favaro, A Billis, VHA Cagnon… - Laboratory …, 2012 - repositorio.unicamp.br	 WJ Favaro	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 21912906 
Characterization of reactive stroma in human prostate cancer and role of Prostate Cancer Stem Cells (PCSCs), growth factors, Matrix Metalloproteinases …	 Citation	 https://repositorio.unicamp.br/acervo/detalhe/1175794	 WJ Favaro, A Billis, L Meirelles… - Laboratory …, 2012 - repositorio.unicamp.br	 WJ Favaro	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
An Evaluation of the Pathologic Reporting of Prostate Biopsy and Prostate Transurethral Resections with Urothelial Carcinoma	 Citation	 NaN	 EJ Fichtenbaum, DL Zynger - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 DL Zynger	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 37374033 
Identification and Validation of Immunohistochemical Markers To Discriminate Urothelial Carcinoma Invading the Prostatic Fibromuscular Stroma vs In …	 Citation	 NaN	 EJ Fichtenbaum, WL Marsh… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Incidental Prostate Pathology in Cytoprostatectomy Specimens: Is Partial Prostate Sampling Adequate?	 Citation	 NaN	 E Filter, MY Gabril, JA Gomez… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
ERG Immunohistochemical Expression in Dominant Prostate Cancers and Paired Lymph Node Metastases	 Citation	 NaN	 SW Fine, HA Al-Ahmadie… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 HA Al-Ahmadie	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Immunohistochemical profile of clear cell and related renal cell cancers, with emphasis on CK7 and carbonic anhydrase-IX (CA-IX) staining	 Citation	 NaN	 SW Fine, Y Chen… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 Y Chen	 2	 1	 10.1016/j.anndiagpath.2018.06.007	 Ann Diagn Pathol	 2018 Oct:36:1-4.	 Yiqiu Wang	 29966830
Gene expression profiling of clear cell papillary renal cell carcinoma: comparison with clear cell renal cell carcinoma and papillary renal cell carcinoma	 Html	 https://www.sciencedirect.com/science/article/pii/S0893395222018129	 KE Fisher, Q Yin-Goen, D Alexis, JS Sirintrapun… - Modern Pathology, 2014 - Elsevier	 NaN	 42	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 23887297
Tumor Regression after Neoadjuvant Chemotherapy Independently Predicts Survival in Bladder Cancer Patients	 Citation	 NaN	 A Fleischmann, A Perren… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 A Perren	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 PMID: 24525502 
Re-Visiting the Use of Common Biomarkers in Cytogenetically Confirmed Subtypes of Renal Epithelial Neoplasia	 Citation	 NaN	 T Flood, P Dal Cin, MS Hirsch - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 T Flood	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Development and validation of a microRNA-based diagnostic assay for classification of renal cell carcinomas	 Html	 https://www.sciencedirect.com/science/article/pii/S157478911300046X	 Y Spector, E Fridman, S Rosenwald, S Zilber… - Molecular Oncology, 2013 - Elsevier	 NaN	 36	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Microsatellite Instability in Prostatic Adenocarcinoma: Association with a Mucinous Phenotype	 Citation	 NaN	 CS Friedman, DJ Pisapia… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Detection of ERG in Japanese Transition Zone Prostate Cancer	 Citation	 NaN	 B Furusato, H Takahashi… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 H Takahashi	 NaN	 0	 10.1111/pin.12006	 Pathol Int	 2012 Nov;62(11):742-8.	 Takahiro Kimura	 23121605
Tissue Microarray Analysis of Prostate Cancer Specimens Supports a Positive Feedback Loop among Molecules Involved in Hyaluronan Synthesis …	 Citation	 NaN	 V Ganta, A Rizzardi, L Marston… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 A Rizzardi	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Nuclear and Membranous Smo Expression Is Associated with Low Tumor Grade and Stage in Renal Cell Carcinomas (RCC)	 Citation	 NaN	 J Garbaini, KA Kim, RN Al-Rohil… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 RN Al-Rohil	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Expression of the Na+/K+-Transporting ATPase Gamma Subunit FXYD2 in Chromophobe Renal Cell Carcinoma and Renal Oncocytoma	 Citation	 NaN	 JP Gaut, DL Crimmins… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 1	 0	 10.1038/modpathol.2012.202	 Mod Pathol	 2013 May;26(5):716-24.	 Joseph P Gaut	 23196795
Interstitial Cystitis, Another IgG4 Related Disease?	 Citation	 NaN	 Y Ge, H Zhou, SS Shen, JY Ro - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 10.1016/j.anndiagpath.2013.03.004	 Ann Diagn Pathol	 2013 Oct;17(5):403-7.	 Suzanne Crumley	 23732167
